Snake,id_part,id_node,source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,radial_velocity_error,parallax_error,pmra_error,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr
0,layer10_83463,,3104680537993410432,98.74310286445518,-4.504989998747798,3.893235304627298,-5.664389657593346,-3.1253450282050714,14.805451,3.721751,0.014449783,0.014781576,0.01466593,0.14893574,0.028203985
0,layer10_83463,,3104704761609269248,98.84266807159074,-4.422869984045769,3.9045298299969495,-5.864251441656088,-2.703127603762604,,,0.039592102,0.037742574,0.033666346,0.12518746,0.09019416
0,layer10_83463,,3104709713709125120,98.66301413009764,-4.348040882950775,3.561720823810103,-5.699381286921872,-2.5976465752382265,45.317993,7.4002347,0.028242193,0.0270782,0.029512107,0.043763064,0.23695824
0,layer10_83463,layer12_88323,3104728023152825728,98.53890501697774,-4.146799002054569,3.2158901350198623,-5.783848160518899,-2.0419999987796813,,,0.31009862,0.36948475,0.37224045,0.16531588,0.060124435
0,layer10_83463,,3104747749939042048,98.11405608728518,-4.22768278600671,2.8414255664695163,-4.851829247903545,-1.433530740240836,,,0.08825441,0.08955389,0.080692686,0.24754581,0.017204577
0,layer10_83463,layer12_88323,3104766098039313408,98.04654535586953,-4.145448514841225,3.3350647979816728,-5.652369063213991,-2.1680953123120066,,,0.16502735,0.16781588,0.15238309,0.27159515,-0.007256208
0,layer10_83463,,3104778845502604160,98.5468056947035,-3.976279255590288,3.0875400155487296,-4.596798143777801,-2.828147722949252,,,0.04490209,0.051088832,0.05021141,0.0036986007,0.18247515
0,layer10_83463,,3104802721222215808,98.46443278971014,-3.779085325366918,3.772127831341911,-5.99152282397963,-3.437852126959153,,,0.23615578,0.24119127,0.2301769,0.076709315,0.14377257
0,layer10_83463,,3104823337065738240,99.22051353194746,-3.91073459245262,3.694231891920984,-6.120666377149089,-2.672088363043402,36.29443,6.3176746,0.023282573,0.024529807,0.022363171,0.1663953,0.014059251
0,layer10_83463,,3104823822400074624,99.22920345119115,-3.88294485695528,4.541043049429272,-7.75412180737699,-3.722887837917191,,,0.028654214,0.031793915,0.02986684,0.15544656,-0.042573377
0,layer10_83463,,3104826944838513536,99.35300524204776,-3.776385378077162,3.088734585017571,-4.606356034617996,-1.1667666645141912,,,0.16986646,0.18217672,0.18190466,-0.021894608,0.1262001
0,layer10_83463,,3104832068736976768,98.84368657462043,-3.9246549167096942,3.8701854520363694,-6.0586055449979135,-2.9982034415503582,,,0.054531746,0.04746232,0.041669827,0.15634711,0.16680263
0,layer10_83463,,3104833713704710656,98.84251722968814,-3.840920286045439,4.416833795484821,-7.424431463219645,-3.5432485222248733,,,0.16559659,0.14285582,0.13349308,0.20313276,0.17071849
0,layer10_83463,,3104834164680940800,98.98617953322356,-3.834493041162249,3.386562966280723,-6.06681949181753,-2.444934035944099,,,0.04578836,0.04761197,0.045513917,0.09529511,0.07470257
0,layer10_83463,,3104866080580866432,99.33333406221034,-3.597133024001002,4.015495886702015,-6.561676271336028,-3.299804699127034,,,0.15668917,0.15544103,0.15059641,0.044093598,0.20809713
0,layer10_83463,,3104890132394714496,98.94830328121678,-3.666633350072478,3.09655151773236,-5.682750594022393,-2.097887307914393,17.569447,2.8592231,0.018086957,0.01902058,0.018084893,0.15095575,0.027557753
0,layer10_83463,layer12_88323,3104899276384816768,98.5622390725278,-3.6450046529496354,3.319145441885848,-5.821534022381637,-2.6722393414991137,,,0.09678823,0.07693043,0.070946306,0.17084898,0.17065988
0,layer10_83463,,3104919887928946048,99.06186905978096,-3.478591394555701,3.105510459164058,-5.419270631358256,-2.703927493487532,,,0.14775589,0.17581902,0.1651623,0.078515165,-0.030768584
0,layer10_83463,,3104928340425056384,99.40316368907938,-3.242671671863783,3.324017913526115,-6.425772302626089,-2.747348914153379,,,0.20888369,0.20073369,0.18585743,0.14599264,0.05321917
0,layer10_83463,,3104948647031212160,99.1084632316198,-3.088166700015511,4.084556000141867,-6.464648452499777,-3.4318595847044007,,,0.25200292,0.25516987,0.24437237,0.04996015,0.0942422
0,layer10_83463,layer12_88323,3104957241265971968,97.7570977184364,-3.994203498139382,3.3122720902266565,-5.07120982335405,-2.06226122957928,,,0.31274885,0.29458097,0.2896548,0.23229954,-0.109538846
0,layer10_83463,,3104964250652527488,97.86943708396365,-3.901498590654519,3.8059224761779378,-5.939010403926761,-2.67846588067952,,,0.045039754,0.049024247,0.045225862,0.14468302,-0.036481764
0,layer10_83463,layer12_88323,3104965281444116352,97.78239479770816,-3.859946199708853,2.961433985584573,-5.289142320027458,-1.9438749017850403,,,0.08770064,0.07710457,0.07160672,0.41650814,0.20142508
0,layer10_83463,,3104982598752257024,97.62100852661158,-3.724839919528799,3.608015835646615,-5.390985552487518,-2.613222444031648,,,0.078201376,0.076879576,0.07498389,0.25952467,0.07863155
0,layer10_83463,,3104983629544302592,97.76424712558008,-3.6957000755952367,3.831619421184506,-5.2605025600803375,-2.390810400610459,,,0.06630366,0.06891373,0.064070776,0.24913408,-0.047330577
0,layer10_83463,,3105005722855875072,97.9731726523962,-3.6247292207220543,3.772902083021095,-5.894692032752201,-2.992927981560203,18.653385,2.9100432,0.017873032,0.019660167,0.016460998,0.1420156,0.059791896
